kod;obec;registrovani;obalky;platne;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
590274;Babice;167;126;126;40;0;0;0;9;19;0;9;1;0;0;0;0;0;8;2;3;0;7;1;16;11;0;0
590282;Bačice;165;104;104;33;0;0;0;23;7;0;1;0;1;0;1;0;1;6;4;0;0;14;2;5;5;0;1
544833;Bačkovice;88;53;52;18;0;0;0;7;5;0;1;0;1;0;0;0;0;1;0;0;0;4;3;3;9;0;0
590304;Benetice;150;117;117;41;0;0;0;6;23;0;3;0;1;0;0;0;0;4;1;0;0;10;2;11;15;0;0
590312;Biskupice-Pulkov;222;118;118;48;0;0;0;13;14;0;7;0;1;1;2;0;0;8;0;1;2;6;2;6;7;0;0
590321;Blatnice;303;177;177;66;0;0;0;25;26;0;7;0;1;0;0;2;0;2;0;1;1;20;1;9;16;0;0
550400;Bohušice;124;76;76;20;0;0;0;9;10;0;6;0;1;0;0;0;0;4;0;0;0;11;9;2;4;0;0
590347;Bochovice;137;104;102;42;0;0;0;2;10;0;2;0;0;0;0;1;0;4;1;3;1;10;8;9;8;0;1
590363;Bransouze;200;149;148;48;0;0;0;16;15;0;10;3;1;0;0;0;0;7;0;1;1;3;5;12;23;0;3
590380;Březník;559;407;407;159;1;0;2;36;28;0;19;0;6;0;1;0;2;9;5;8;3;66;6;27;28;0;1
590401;Budišov;980;595;591;151;1;0;2;71;70;0;47;3;5;2;0;1;3;18;4;6;7;59;7;51;82;1;0
590410;Budkov;285;183;182;41;0;0;0;15;43;0;8;0;6;0;0;0;0;14;0;0;4;20;3;20;8;0;0
590428;Cidlina;73;59;59;21;0;0;0;11;11;0;2;1;1;0;0;0;0;1;0;0;0;8;0;2;1;0;0
590436;Čáslavice;443;316;313;84;0;0;2;59;20;2;17;2;4;2;1;0;0;12;0;5;0;39;10;31;23;0;0
553964;Častohostice;159;99;99;27;0;0;0;24;3;0;4;0;0;0;0;1;0;8;1;1;0;9;1;16;4;0;0
590444;Čechočovice;232;157;156;51;1;0;0;23;6;0;4;0;3;0;0;0;0;7;2;4;1;32;2;15;5;0;0
590452;Čechtín;249;204;204;74;0;0;1;18;25;0;6;1;2;0;0;0;0;7;0;0;0;17;1;22;30;0;0
590461;Červená Lhota;151;111;110;39;0;1;0;3;23;0;7;0;1;0;0;1;1;4;0;1;0;7;3;9;10;0;0
590479;Číhalín;159;129;129;23;0;0;1;17;21;0;11;0;0;0;0;0;0;11;1;0;1;12;2;13;16;0;0
590487;Číchov;201;129;129;45;1;0;0;14;10;0;9;1;4;0;0;1;0;1;0;1;0;11;1;11;19;0;0
590495;Čikov;180;120;116;30;0;1;1;23;4;0;13;0;4;0;0;0;0;2;3;1;1;10;5;14;4;0;0
590509;Číměř;163;119;119;52;0;0;1;13;14;0;1;1;0;0;0;0;0;9;0;0;1;8;7;4;8;0;0
590517;Dalešice;496;297;294;59;1;0;0;56;62;0;17;1;0;0;0;0;0;7;0;4;3;48;5;17;14;0;0
590525;Dědice;105;76;76;18;0;0;0;16;9;0;3;0;0;0;0;0;1;7;0;0;1;9;2;8;2;0;0
590533;Dešov;358;204;204;58;0;0;1;13;29;1;7;2;0;1;0;1;0;25;0;2;2;19;13;15;14;1;0
587664;Dolní Lažany;123;92;92;37;0;0;0;22;7;0;7;0;0;0;0;1;0;5;0;0;3;2;0;3;5;0;0
590550;Dolní Vilémovice;323;209;209;58;0;0;0;37;28;0;10;3;0;0;0;1;0;4;1;2;1;19;2;23;20;0;0
590568;Domamil;242;161;161;61;0;0;0;13;40;0;1;0;1;0;0;1;0;14;0;1;0;7;3;10;9;0;0
590576;Dukovany;682;466;458;164;0;0;1;64;29;0;44;1;4;3;1;0;0;12;2;5;3;50;9;42;24;0;0
590584;Hartvíkovice;452;275;270;95;0;0;0;38;29;0;16;0;2;0;0;1;0;5;1;3;1;29;9;22;19;0;0
590592;Heraltice;309;205;205;58;0;0;0;18;14;2;11;5;1;0;0;0;2;7;0;4;1;26;9;16;30;1;0
590614;Hluboké;174;97;93;29;0;0;0;9;14;1;8;1;0;0;0;0;1;4;1;0;0;6;1;14;4;0;0
590622;Hodov;267;180;180;67;0;0;1;5;29;0;17;2;1;0;0;0;1;7;0;0;1;13;5;15;16;0;0
590631;Horní Heřmanice;105;77;77;27;0;0;0;7;7;0;6;1;0;0;0;0;1;2;1;1;2;8;2;2;10;0;0
550612;Horní Smrčné;46;40;40;4;0;0;0;2;9;0;5;0;2;0;0;0;0;1;0;1;0;5;3;4;4;0;0
590649;Horní Újezd;220;155;154;26;0;0;0;15;17;0;14;1;2;1;0;1;0;9;1;2;0;11;8;21;25;0;0
